# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
5.440000000000000000e+02,5.087844737727839628e-02,9.305102501884934263e-01,9.457770570506052188e-02,9.313598397709544896e-01,2.260767558989806598e-03,1.064569607106925081e-02,3.157145148217722474e-03,1.059250740636781887e-02
5.460000000000000000e+02,4.759190382059728941e-02,9.215424824213095389e-01,8.818856889147484723e-02,9.224234552837071721e-01,2.187425105894180797e-03,1.073923110409301732e-02,3.059053390679217655e-03,1.067378235959452921e-02
5.480000000000000000e+02,4.514983575738030358e-02,9.105195416902880368e-01,8.191669589989723776e-02,9.112895461491579141e-01,2.169571352685000041e-03,1.087329794405868071e-02,2.922647711397171211e-03,1.084302997216887894e-02
5.500000000000000000e+02,4.357641231045267238e-02,9.003051942553497167e-01,7.601117257785183767e-02,9.008711454046455236e-01,2.126610116090135467e-03,1.106722421317386448e-02,2.815635338288991363e-03,1.103527905842334803e-02
5.520000000000000000e+02,4.280563346191593177e-02,8.905500345542606278e-01,7.022523817070797092e-02,8.912818112906871759e-01,2.120950662451446048e-03,1.106695135887311547e-02,2.705921271185395775e-03,1.109255665274420585e-02
5.540000000000000000e+02,4.235518994914287683e-02,8.777134010961358257e-01,6.459318185934175005e-02,8.786724903211231563e-01,2.130937298685722271e-03,1.119616825024401935e-02,2.566450174507782424e-03,1.122063643750239627e-02
5.560000000000000000e+02,4.205671046665028501e-02,8.591931182060074113e-01,5.916458436075153204e-02,8.599261691909335648e-01,2.123351008414370647e-03,1.119905311000061847e-02,2.427000558319236233e-03,1.119495580465197648e-02
5.580000000000000000e+02,4.192142868921980292e-02,8.359780406001821040e-01,5.432309232650794906e-02,8.363141036497330205e-01,2.117023124434331324e-03,1.111655995507811190e-02,2.325615512165036137e-03,1.122192880564058283e-02
5.600000000000000000e+02,4.203825335961756254e-02,8.120982518008940110e-01,5.015158499678071258e-02,8.126436028902863651e-01,2.136045485440002476e-03,1.105476918309027459e-02,2.277805577674619445e-03,1.109439103521887154e-02
5.620000000000000000e+02,4.263563919116641898e-02,7.939091556037104480e-01,4.680913590918111405e-02,7.948625587935026493e-01,2.133817530794292292e-03,1.101834688224076833e-02,2.214411453239483601e-03,1.118777480753528793e-02
5.640000000000000000e+02,4.357892737601811589e-02,7.763901995289446134e-01,4.409500591723836821e-02,7.773787648819769913e-01,2.152425619098429985e-03,1.101162043983502752e-02,2.150040008364772614e-03,1.116335000898424981e-02
5.660000000000000000e+02,4.533960361949188056e-02,7.624240574067074894e-01,4.227525524471891644e-02,7.631418787203585463e-01,2.208078550552793496e-03,1.124197039765240796e-02,2.101939105084119075e-03,1.124029774464205614e-02
5.680000000000000000e+02,4.805575912151881235e-02,7.445991314895102908e-01,4.102178964808853023e-02,7.452231854034155889e-01,2.280575136568713333e-03,1.108782284231884553e-02,2.100054088574898354e-03,1.118741694294194192e-02
5.700000000000000000e+02,5.307955324891518167e-02,7.256188535369115788e-01,3.991463621588260680e-02,7.262336154631134910e-01,2.386865777501624014e-03,1.106404936071865401e-02,2.083909182327166060e-03,1.113080706919552555e-02
5.720000000000000000e+02,6.239877633989347749e-02,6.997754886600910940e-01,3.857492533355755954e-02,7.007800545293619843e-01,2.625411084785676981e-03,1.099772278831226413e-02,2.033119749593264095e-03,1.103824336264199596e-02
5.740000000000000000e+02,8.295434590109219963e-02,6.757369972018167914e-01,3.741006855210216725e-02,6.768397598045075014e-01,3.095980213303331941e-03,1.087884081462942021e-02,2.016485838099066428e-03,1.089313278925866518e-02
5.760000000000000000e+02,1.264913061152948826e-01,6.500682660101713140e-01,3.664605242766097448e-02,6.508163635094691424e-01,3.949319013358511959e-03,1.066911464575810535e-02,1.972218777429722569e-03,1.067681907147168159e-02
5.780000000000000000e+02,2.059659684963181248e-01,6.307826783549922434e-01,3.681616334056197343e-02,6.315627228185856090e-01,5.201964722963761667e-03,1.064810922594946509e-02,1.996588465667195438e-03,1.068975008337183681e-02
5.800000000000000000e+02,3.180184927456840005e-01,6.123667203795215563e-01,3.712237693465946647e-02,6.130031652804637243e-01,6.510437669375138646e-03,1.055314179206603281e-02,2.057788630816271246e-03,1.065705098557180423e-02
5.820000000000000000e+02,4.424858087075038138e-01,5.936366674297393065e-01,3.725756989475140918e-02,5.945697856009051208e-01,7.347428127145434404e-03,1.055574292058104359e-02,2.001485992222979023e-03,1.073487167744651728e-02
5.840000000000000000e+02,5.477007428657896249e-01,5.698300618916779525e-01,3.688349137717746029e-02,5.709357067875299174e-01,8.065118110499832835e-03,1.065933106872414375e-02,1.994891856626100721e-03,1.063997343407321709e-02
5.860000000000000000e+02,6.265660564689338186e-01,5.422653140824028606e-01,3.627119564978423943e-02,5.430176096735648272e-01,8.657475899588353008e-03,1.058081185209812022e-02,1.996724172712443807e-03,1.053160889100581560e-02
5.880000000000000000e+02,6.795818653146413757e-01,5.154445213430089989e-01,3.583156861544548044e-02,5.161080308671224248e-01,8.861298383794073003e-03,1.051992801327635181e-02,1.964225179359684222e-03,1.071222415823703568e-02
5.900000000000000000e+02,7.067599631143496319e-01,4.879146610726239341e-01,3.526584127913700434e-02,4.887187507108323725e-01,9.201060082058336309e-03,1.046969869581096044e-02,1.954244577287320324e-03,1.060073136330213182e-02
5.920000000000000000e+02,7.168257679077701949e-01,4.605479232947098378e-01,3.439044001381993260e-02,4.614997597295922849e-01,9.275098206766488329e-03,1.055222017051554023e-02,1.927299363380740151e-03,1.057824969608143172e-02
5.940000000000000000e+02,7.219415406607849750e-01,4.307421651187877676e-01,3.307727442464825085e-02,4.315013136875067157e-01,9.391208841861923770e-03,1.037970941627946314e-02,1.934127588102590826e-03,1.043486374504458761e-02
5.960000000000000000e+02,7.262240553227869988e-01,3.992981871296352736e-01,3.158461309358732982e-02,3.997023942888868753e-01,9.350131142115988489e-03,1.034227248020500901e-02,1.865563464722950647e-03,1.030829833041151458e-02
5.980000000000000000e+02,7.232535092091038065e-01,3.678655350396892176e-01,3.024344397105891216e-02,3.678634237900330062e-01,9.295444035198338964e-03,1.022188618590992235e-02,1.878867281288780239e-03,1.023861477623874520e-02
6.000000000000000000e+02,7.094196354420250206e-01,3.375082769659566440e-01,2.907119976418744492e-02,3.374516984457162083e-01,6.482668477863838367e-03,7.040301806922237907e-03,1.240953367449091922e-03,7.093090595438209835e-03
6.020000000000000000e+02,6.960509483252401708e-01,3.117048749245712180e-01,2.828930013287806952e-02,3.119367720499826024e-01,6.495616117370713906e-03,6.863530167112641064e-03,1.259453550359097059e-03,6.903412244980571683e-03
6.040000000000000000e+02,6.776052516944117698e-01,2.842173159163035590e-01,2.695809293755999786e-02,2.844470144887688012e-01,6.350169043214363637e-03,6.634202377770779570e-03,1.227945121884103973e-03,6.653566290272983248e-03
6.060000000000000000e+02,6.649330458762509055e-01,2.582078033779642290e-01,2.558103313800992942e-02,2.581362319250867232e-01,6.299063035168573493e-03,6.350460621274130711e-03,1.207881252001282747e-03,6.427196917060822717e-03
6.080000000000000000e+02,6.528314562687635991e-01,2.330351116366918551e-01,2.419315658698114116e-02,2.325939467375134351e-01,6.260629556546200812e-03,6.079924356020643961e-03,1.173237138186080785e-03,6.096758054631125009e-03
6.100000000000000000e+02,6.330890637300020662e-01,2.089207263310589591e-01,2.295844111794471260e-02,2.080913325621552012e-01,6.101119158897480577e-03,5.832512101996470931e-03,1.167429975446376443e-03,5.874876258509122325e-03
6.120000000000000000e+02,6.054204731990998622e-01,1.864503526438654468e-01,2.188695677445007953e-02,1.855210710596100765e-01,5.978470151619570683e-03,5.442393117734438748e-03,1.147697616380088503e-03,5.528773857095450016e-03
6.140000000000000000e+02,5.739973212597908603e-01,1.662605261672448764e-01,2.079448475146911807e-02,1.654408679683023742e-01,5.880450044592570695e-03,5.159293872511702336e-03,1.128658067665053296e-03,5.163400017353794030e-03
6.160000000000000000e+02,5.625203148528736818e-01,1.535381823676913449e-01,2.051016878180257283e-02,1.527487523452733809e-01,5.790808016733452017e-03,4.934497768024384903e-03,1.129800847572973860e-03,4.962968920762945817e-03
6.180000000000000000e+02,5.437745976014896065e-01,1.362841447425875152e-01,1.971644065012372396e-02,1.352665901154566364e-01,5.670622587413414947e-03,4.616942923792083375e-03,1.120295759393458591e-03,4.621837711515175071e-03
6.200000000000000000e+02,5.475587272992210597e-01,1.374307363437526353e-01,1.994078053542064702e-02,1.364818163733554357e-01,5.770778416197051494e-03,4.620567786097596642e-03,1.144412802557646892e-03,4.672417955331386805e-03
6.220000000000000000e+02,5.298749320349290803e-01,1.228199897859346551e-01,1.938896684886234206e-02,1.214157223373806826e-01,5.656284227109145864e-03,4.352732248223009637e-03,1.144190700912890019e-03,4.372140090120666192e-03
6.240000000000000000e+02,5.075982286606901539e-01,1.128902350288021744e-01,1.897003125961976150e-02,1.113804705775736370e-01,5.533688271096730282e-03,4.146615752886978652e-03,1.147946564381078279e-03,4.144335386005577188e-03
6.260000000000000000e+02,4.857550852812764219e-01,1.043549460573738180e-01,1.880838068317020051e-02,1.028802468354413913e-01,5.426047735448662722e-03,3.922340678245699909e-03,1.146768240130021819e-03,3.949264108820546397e-03
6.280000000000000000e+02,4.660303838442600988e-01,9.717909155586439141e-02,1.882683403315194362e-02,9.576147980410082416e-02,5.312202270925901748e-03,3.741465979798261430e-03,1.173249326069745763e-03,3.790641218460235121e-03
6.300000000000000000e+02,4.486175233695048337e-01,9.138122684984237298e-02,1.880998060169697741e-02,8.971864825022424217e-02,5.191818794755959782e-03,3.580197766729668277e-03,1.190109083483279493e-03,3.601766922294114947e-03
6.320000000000000000e+02,4.368034894806901436e-01,8.711703708030475724e-02,1.891028193254717590e-02,8.543915921940783975e-02,5.216598302662907999e-03,3.447851922941854493e-03,1.204677957593278028e-03,3.490761035101585478e-03
6.340000000000000000e+02,4.256068970524540251e-01,8.326556026707308822e-02,1.903016123392094541e-02,8.150159051832361889e-02,5.174889305973747432e-03,3.321242382294947726e-03,1.224743669054356113e-03,3.364089851988147795e-03
6.360000000000000000e+02,4.126184629620240352e-01,7.933134618467579946e-02,1.919220392467491446e-02,7.729868113346419212e-02,5.122874826170065871e-03,3.254269681690749594e-03,1.240852598870090858e-03,3.280647795317506981e-03
6.380000000000000000e+02,3.971957459225855525e-01,7.500753707467715248e-02,1.938723947830393521e-02,7.278590931160282274e-02,4.962217371775149398e-03,3.118364009567894425e-03,1.255695007038572881e-03,3.155754639678251105e-03
6.400000000000000000e+02,3.784628473101745993e-01,7.041345509656050938e-02,1.948839320550696183e-02,6.800545658587570097e-02,4.808538755366053782e-03,2.968486462495186027e-03,1.254350540768675928e-03,3.007458560174643830e-03
6.420000000000000000e+02,3.550426598484498486e-01,6.517882099704076782e-02,1.933708587616985233e-02,6.271816353324047300e-02,4.586861408401464793e-03,2.819796915866861365e-03,1.244176253565145492e-03,2.835230030460912654e-03
6.440000000000000000e+02,3.356057256272584333e-01,6.111808310168400510e-02,1.926029728931096668e-02,5.857274780499737571e-02,4.434804527530073967e-03,2.689440924651640818e-03,1.244559973536721407e-03,2.689494012202878637e-03
6.460000000000000000e+02,3.182917927721444218e-01,5.751318328814930547e-02,1.929629539032958960e-02,5.512029610467119450e-02,4.348892743317329598e-03,2.586940450053267903e-03,1.240511091787473369e-03,2.576797476610027948e-03
6.480000000000000000e+02,3.052956836205865110e-01,5.483597255116105101e-02,1.952539905525351588e-02,5.264956334588023062e-02,4.290995615302373861e-03,2.499369428147007414e-03,1.245197076235695678e-03,2.505530605840149052e-03
6.500000000000000000e+02,2.954167167221161683e-01,5.292529584895374478e-02,1.985481276697111108e-02,5.071009072318335975e-02,4.191888643245942139e-03,2.474758752434417803e-03,1.235356489894100067e-03,2.444797867996957152e-03
6.520000000000000000e+02,2.872673760115953545e-01,5.155908567596200615e-02,2.038349323260157595e-02,4.903162194496544363e-02,5.256731089841313806e-03,3.113981429779694079e-03,1.529481225309296246e-03,3.130514688593763212e-03
6.540000000000000000e+02,2.786900813234572394e-01,5.019372292258279106e-02,2.093596954708342589e-02,4.735677805848775845e-02,5.141023567421719627e-03,3.065205851325334980e-03,1.521256849403335989e-03,3.075819062760442278e-03
6.560000000000000000e+02,2.674498232488050631e-01,4.848409636748614304e-02,2.124154919798139363e-02,4.554490560951824502e-02,5.020787655134997113e-03,2.979467444713030690e-03,1.554595655222698993e-03,3.007019441955696964e-03
6.580000000000000000e+02,2.535000424658867546e-01,4.657823543884546946e-02,2.132868832791901328e-02,4.382440633880824166e-02,4.820017984845967156e-03,2.839020356782973216e-03,1.557869500090271198e-03,2.897601931558052568e-03
6.600000000000000000e+02,2.380412336853392763e-01,4.486506360251842768e-02,2.123119092471587727e-02,4.233804310823223449e-02,4.746338118291708146e-03,2.780152949246566044e-03,1.564442248490337771e-03,2.813153780522634467e-03
6.620000000000000000e+02,2.242517025440970146e-01,4.373546167598296730e-02,2.115816627589409832e-02,4.147731430544916720e-02,4.528046479963541114e-03,2.723046375435696220e-03,1.571807324611994771e-03,2.749150844092509982e-03
6.640000000000000000e+02,2.104482941231550497e-01,4.284027669395497340e-02,2.102240468351260216e-02,4.063120025601327234e-02,4.377207699640867089e-03,2.635699252541053635e-03,1.570359540566847699e-03,2.699624741179815299e-03
6.660000000000000000e+02,1.994959891385000572e-01,4.243660623346275779e-02,2.095904878328773771e-02,4.012090185409868809e-02,4.208674817635367320e-03,2.653753395827648017e-03,1.568179126272963931e-03,2.636407803475829606e-03
6.680000000000000000e+02,1.888535572801505469e-01,4.204962012002307070e-02,2.065875081780198241e-02,3.938680182041150862e-02,4.064589903406062160e-03,2.562903502036139279e-03,1.564634877356495474e-03,2.575706576343152112e-03
6.700000000000000000e+02,1.815769255383916925e-01,4.220429238296746766e-02,2.056843728675395930e-02,3.945301556458631620e-02,3.936041471273491084e-03,2.573177572200664297e-03,1.550893446545886008e-03,2.566576357441840549e-03
6.720000000000000000e+02,1.710969023575241443e-01,4.179036508591669336e-02,2.005267283646399931e-02,3.902774641160310087e-02,3.827354973707722350e-03,2.508568368150010126e-03,1.577439193392919875e-03,2.509384313860379880e-03
6.740000000000000000e+02,1.604467766873314827e-01,4.138936966217262453e-02,1.962126393094382193e-02,3.885442526927664064e-02,3.684516768306144059e-03,2.485364268232237960e-03,1.563805266995980806e-03,2.477942829477508720e-03
6.760000000000000000e+02,1.466942695500484395e-01,4.028324248428599708e-02,1.886440714492516879e-02,3.790899894329832071e-02,3.572399811693481933e-03,2.407888840035838154e-03,1.538779779335538696e-03,2.416020256345793610e-03
6.780000000000000000e+02,1.289359012559844475e-01,3.800578389256942247e-02,1.749126126165655853e-02,3.577072721514001213e-02,3.356446540554981761e-03,2.339626841593001917e-03,1.543040188761831549e-03,2.289920207685573143e-03
6.800000000000000000e+02,1.054445649117818767e-01,3.311844962810427118e-02,1.486167037717241353e-02,3.119707978919213087e-02,3.008938703260108632e-03,2.196477867552611846e-03,1.490006402043112660e-03,2.132432600141292208e-03
6.820000000000000000e+02,8.041921280807924621e-02,2.653273704516916076e-02,1.159432606415370000e-02,2.506561195507231443e-02,2.600689206846489368e-03,1.946148512947171909e-03,1.389280754672942960e-03,1.847563712298840553e-03
6.840000000000000000e+02,5.633651908641865852e-02,1.964580527091320736e-02,8.217628316720893694e-03,1.855344810092974042e-02,2.219929897544838191e-03,1.621216858816596374e-03,1.259565393125969312e-03,1.572080025036276876e-03
6.860000000000000000e+02,3.787083893014379227e-02,1.370001526660188061e-02,5.601258307949183966e-03,1.286547925772298616e-02,1.817552300045492415e-03,1.527397887466843285e-03,1.142676617596520821e-03,1.467789536841699943e-03
6.880000000000000000e+02,2.400318286921025029e-02,8.871399685181165576e-03,3.665057507393259563e-03,8.293915718273880272e-03,1.579522527882954450e-03,1.351226417078672457e-03,1.067327898963001120e-03,1.310912845967857412e-03
6.900000000000000000e+02,1.545267125834523178e-02,5.711012886898588978e-03,2.405231435044258292e-03,5.358607321041696306e-03,1.398387376280732985e-03,1.153484262691453635e-03,1.026509442150522243e-03,1.110453297603192484e-03
6.920000000000000000e+02,9.815118276689073842e-03,3.825683895989829067e-03,1.666885059315554316e-03,3.596856498683796786e-03,1.303887189345695257e-03,1.010651490304989748e-03,1.011064220324078096e-03,9.812768309298842539e-04
6.940000000000000000e+02,6.289731514487979791e-03,2.688559931095601315e-03,1.162692491480793889e-03,2.525697446363180717e-03,1.146111656659681280e-03,9.562190283520855590e-04,1.029758693320382635e-03,9.260707707578770933e-04
6.960000000000000000e+02,4.189745866820172859e-03,1.933765329595596525e-03,8.522570557829297440e-04,1.820687841362158849e-03,1.017617921408473566e-03,9.245047585241202882e-04,1.053590320065656352e-03,9.101256845900078558e-04
6.980000000000000000e+02,2.925508550890066912e-03,1.423771033736680224e-03,6.477134081331682768e-04,1.356029273759829824e-03,9.505023001968178039e-04,9.194692760481005178e-04,1.071236529424101497e-03,9.075584279042187182e-04
7.000000000000000000e+02,2.135316788755065552e-03,1.091032557252997245e-03,4.868846293987264245e-04,1.024104697076018942e-03,9.135952151088365695e-04,9.207307586406388369e-04,1.058689437392503971e-03,8.992364156892782272e-04
